,country_id,country_value,indicator_name,year,value,region,incomeLevel,longitude,latitude
185,XH,IDA blend,Individuals using the Internet (% of population),2020,28.7,Aggregates,Aggregates,,
186,XH,IDA blend,Individuals using the Internet (% of population),2019,26.9,Aggregates,Aggregates,,
187,XH,IDA blend,Individuals using the Internet (% of population),2018,24.1,Aggregates,Aggregates,,
188,XH,IDA blend,Individuals using the Internet (% of population),2017,22.3,Aggregates,Aggregates,,
189,XH,IDA blend,Individuals using the Internet (% of population),2016,20.6,Aggregates,Aggregates,,
190,XI,IDA only,Individuals using the Internet (% of population),2025,36.1,Aggregates,Aggregates,,
191,XI,IDA only,Individuals using the Internet (% of population),2024,33.9,Aggregates,Aggregates,,
192,XI,IDA only,Individuals using the Internet (% of population),2023,32.5,Aggregates,Aggregates,,
193,XI,IDA only,Individuals using the Internet (% of population),2022,30.7,Aggregates,Aggregates,,
194,XI,IDA only,Individuals using the Internet (% of population),2021,28.4,Aggregates,Aggregates,,
195,XI,IDA only,Individuals using the Internet (% of population),2020,26.0,Aggregates,Aggregates,,
196,XI,IDA only,Individuals using the Internet (% of population),2019,22.8,Aggregates,Aggregates,,
197,XI,IDA only,Individuals using the Internet (% of population),2018,20.9,Aggregates,Aggregates,,
198,XI,IDA only,Individuals using the Internet (% of population),2017,17.5,Aggregates,Aggregates,,
199,XI,IDA only,Individuals using the Internet (% of population),2016,14.9,Aggregates,Aggregates,,
200,XG,IDA total,Individuals using the Internet (% of population),2025,38.9,Aggregates,Aggregates,,
201,XG,IDA total,Individuals using the Internet (% of population),2024,36.4,Aggregates,Aggregates,,
202,XG,IDA total,Individuals using the Internet (% of population),2023,34.5,Aggregates,Aggregates,,
203,XG,IDA total,Individuals using the Internet (% of population),2022,32.8,Aggregates,Aggregates,,
204,XG,IDA total,Individuals using the Internet (% of population),2021,29.8,Aggregates,Aggregates,,
205,XG,IDA total,Individuals using the Internet (% of population),2020,27.0,Aggregates,Aggregates,,
206,XG,IDA total,Individuals using the Internet (% of population),2019,24.2,Aggregates,Aggregates,,
207,XG,IDA total,Individuals using the Internet (% of population),2018,22.0,Aggregates,Aggregates,,
208,XG,IDA total,Individuals using the Internet (% of population),2017,19.2,Aggregates,Aggregates,,
209,XG,IDA total,Individuals using the Internet (% of population),2016,16.9,Aggregates,Aggregates,,
210,V3,Late-demographic dividend,Individuals using the Internet (% of population),2025,,Aggregates,Aggregates,,
211,V3,Late-demographic dividend,Individuals using the Internet (% of population),2024,,Aggregates,Aggregates,,
212,V3,Late-demographic dividend,Individuals using the Internet (% of population),2023,,Aggregates,Aggregates,,
213,V3,Late-demographic dividend,Individuals using the Internet (% of population),2022,,Aggregates,Aggregates,,
214,V3,Late-demographic dividend,Individuals using the Internet (% of population),2021,,Aggregates,Aggregates,,
215,V3,Late-demographic dividend,Individuals using the Internet (% of population),2020,,Aggregates,Aggregates,,
216,V3,Late-demographic dividend,Individuals using the Internet (% of population),2019,,Aggregates,Aggregates,,
217,V3,Late-demographic dividend,Individuals using the Internet (% of population),2018,,Aggregates,Aggregates,,
218,V3,Late-demographic dividend,Individuals using the Internet (% of population),2017,,Aggregates,Aggregates,,
219,V3,Late-demographic dividend,Individuals using the Internet (% of population),2016,,Aggregates,Aggregates,,
220,ZJ,Latin America & Caribbean,Individuals using the Internet (% of population),2025,83.7,Aggregates,Aggregates,,
221,ZJ,Latin America & Caribbean,Individuals using the Internet (% of population),2024,81.7,Aggregates,Aggregates,,
222,ZJ,Latin America & Caribbean,Individuals using the Internet (% of population),2023,80.0,Aggregates,Aggregates,,
223,ZJ,Latin America & Caribbean,Individuals using the Internet (% of population),2022,77.1,Aggregates,Aggregates,,
224,ZJ,Latin America & Caribbean,Individuals using the Internet (% of population),2021,75.8,Aggregates,Aggregates,,
225,ZJ,Latin America & Caribbean,Individuals using the Internet (% of population),2020,73.8,Aggregates,Aggregates,,
226,ZJ,Latin America & Caribbean,Individuals using the Internet (% of population),2019,67.8,Aggregates,Aggregates,,
227,ZJ,Latin America & Caribbean,Individuals using the Internet (% of population),2018,63.5,Aggregates,Aggregates,,
228,ZJ,Latin America & Caribbean,Individuals using the Internet (% of population),2017,60.2,Aggregates,Aggregates,,
